elapsed_seconds,num_steps,progress,lr_mult,train_loss_ema,val_bpb_capped,eval_cap_tokens
360.0,1439,0.05,1.0,3.523504,1.250016,5242880
720.0,2886,0.1,1.0,3.418888,1.217402,5242880
1080.0,4327,0.15,1.0,3.389671,1.202826,5242880
1440.2,5772,0.2,1.0,3.362412,1.193349,5242880
1800.2,7230,0.25,1.0,3.346683,1.189901,5242880
2160.2,8962,0.3,1.0,3.340333,1.181664,5242880
2520.2,10694,0.35,0.9321,3.300147,1.172437,5242880
2880.1,12426,0.4,0.8643,3.295629,1.163473,5242880
3240.1,14158,0.45,0.7965,3.264501,1.157057,5242880
3600.1,15891,0.5,0.7286,3.245277,1.150602,5242880
3960.2,17625,0.55,0.6607,3.22259,1.143726,5242880
4320.2,19358,0.6,0.5929,3.183356,1.135754,5242880
4680.1,21091,0.65,0.525,3.160004,1.127319,5242880
5040.1,22824,0.7,0.4572,3.13455,1.120005,5242880
5400.0,24557,0.75,0.3893,3.132551,1.111695,5242880
5760.2,26291,0.8,0.3214,3.078726,1.102038,5242880
6120.2,28023,0.85,0.2536,3.073241,1.091783,5242880
6480.1,29756,0.9,0.1857,3.021957,1.080048,5242880
6840.2,31490,0.95,0.1179,2.99947,1.064548,5242880
