elapsed_seconds,num_steps,progress,lr_mult,train_loss_ema,val_bpb_capped,eval_cap_tokens
360.1,1438,0.05,1.0,3.512179,1.249463,5242880
720.2,2879,0.1,1.0,3.438797,1.215846,5242880
1080.1,4320,0.15,1.0,3.364927,1.200638,5242880
1440.0,5761,0.2,1.0,3.378463,1.191691,5242880
1800.2,7201,0.25,1.0,3.329405,1.185436,5242880
2160.0,8642,0.3,1.0,3.322429,1.18009,5242880
2520.0,10084,0.35,1.0,3.27772,1.17766,5242880
2880.1,11525,0.4,1.0,3.301676,1.175263,5242880
3240.1,12965,0.45,1.0,3.295472,1.173729,5242880
3600.1,14407,0.5,1.0,3.287484,1.171421,5242880
3960.2,15847,0.55,0.905,3.287216,1.165239,5242880
4320.1,17286,0.6,0.81,3.258356,1.155139,5242880
4680.0,18728,0.65,0.7151,3.239285,1.150738,5242880
5040.2,20169,0.7,0.62,3.208689,1.138728,5242880
5400.0,21609,0.75,0.5251,3.154338,1.127361,5242880
5760.1,23047,0.8,0.43,3.14083,1.116619,5242880
6120.0,24489,0.85,0.3351,3.088163,1.104638,5242880
6480.2,25928,0.9,0.24,3.071672,1.091059,5242880
6840.1,27375,0.95,0.1451,2.999605,1.073088,5242880
