elapsed_seconds,num_steps,progress,lr_mult,train_loss_ema,val_bpb_capped,eval_cap_tokens
360.2,1732,0.05,1.0,3.492088,1.238139,5242880
720.0,3464,0.1,1.0,3.365252,1.207811,5242880
1080.1,5197,0.15,0.9472,3.365782,1.191106,5242880
1440.0,6930,0.2,0.8945,3.322619,1.17983,5242880
1800.1,8664,0.25,0.8417,3.304161,1.171465,5242880
2160.1,10397,0.3,0.7889,3.286549,1.163072,5242880
2520.1,12130,0.35,0.7361,3.252574,1.156271,5242880
2880.0,13862,0.4,0.6834,3.229566,1.148838,5242880
3240.2,15596,0.45,0.6306,3.175706,1.14217,5242880
3600.1,17328,0.5,0.5778,3.223759,1.136033,5242880
3960.1,19061,0.55,0.525,3.178597,1.129229,5242880
4320.1,20794,0.6,0.4722,3.156858,1.123717,5242880
4680.2,22528,0.65,0.4194,3.138733,1.116314,5242880
5040.2,24261,0.7,0.3667,3.111288,1.108952,5242880
5400.1,25994,0.75,0.3139,3.05566,1.101864,5242880
5760.2,27728,0.8,0.2611,3.094439,1.094086,5242880
6120.2,29461,0.85,0.2083,3.016767,1.085184,5242880
6480.1,31194,0.9,0.1556,3.027741,1.07343,5242880
6840.1,32927,0.95,0.1028,2.931836,1.060265,5242880
